Symbol,Cancer Gene Census,Name,Cytoband,Type,# Affected Cases in Cohort,# Affected Cases Across the GDC,# Mutations,Annotations,Survival
KALRN,,"kalirin, RhoGEF kinase","3q21.1, 3q21.2",protein_coding,"115 / 1,062 (10.83%)","617 / 10,202",133,,add to survival plot
LRRK2,,leucine-rich repeat kinase 2,12q12,protein_coding,"114 / 1,062 (10.73%)","670 / 10,202",125,,add to survival plot
KLHL1,,kelch-like family member 1,13q21.33,protein_coding,"114 / 1,062 (10.73%)","390 / 10,202",127,,add to survival plot
SLIT2,,slit homolog 2 (Drosophila),4p15.31,protein_coding,"114 / 1,062 (10.73%)","542 / 10,202",139,,add to survival plot
COL6A6,,"collagen, type VI, alpha 6",3q22.1,protein_coding,"113 / 1,062 (10.64%)","602 / 10,202",128,,add to survival plot
OTOGL,,otogelin-like,12q21.31,protein_coding,"113 / 1,062 (10.64%)","508 / 10,202",131,,add to survival plot
EPHA6,,EPH receptor A6,3q11.2,protein_coding,"113 / 1,062 (10.64%)","485 / 10,202",126,,add to survival plot
RP1,,retinitis pigmentosa 1 (autosomal dominant),"8q11.23, 8q12.1",protein_coding,"113 / 1,062 (10.64%)","743 / 10,202",129,,add to survival plot
ERBB4,,erb-b2 receptor tyrosine kinase 4,2q34,protein_coding,"113 / 1,062 (10.64%)","595 / 10,202",124,Cancer Gene Census,add to survival plot
MYT1L,,myelin transcription factor 1-like,2p25.3,protein_coding,"113 / 1,062 (10.64%)","521 / 10,202",128,,add to survival plot
ZNF479,,zinc finger protein 479,7p11.2,protein_coding,"112 / 1,062 (10.55%)","364 / 10,202",122,,add to survival plot
PCDHB6,,protocadherin beta 6,5q31.3,protein_coding,"112 / 1,062 (10.55%)","626 / 10,202",122,,add to survival plot
CDH8,,"cadherin 8, type 2",16q21,protein_coding,"112 / 1,062 (10.55%)","510 / 10,202",127,,add to survival plot
NCKAP5,,NCK-associated protein 5,2q21.2,protein_coding,"112 / 1,062 (10.55%)","552 / 10,202",130,,add to survival plot
CNTN5,,contactin 5,11q22.1,protein_coding,"112 / 1,062 (10.55%)","493 / 10,202",125,,add to survival plot
CFAP47,,cilia and flagella associated protein 47,Xp21.1,protein_coding,"112 / 1,062 (10.55%)","539 / 10,202",128,,add to survival plot
ABCB5,,"ATP-binding cassette, sub-family B (MDR/TAP), member 5",7p21.1,protein_coding,"112 / 1,062 (10.55%)","482 / 10,202",131,,add to survival plot
MALAT1,,metastasis associated lung adenocarcinoma transcript 1 (non-protein coding),11q13.1,protein_coding,"112 / 1,062 (10.55%)","511 / 10,202",122,,add to survival plot
GRM1,,"glutamate receptor, metabotropic 1",6q24.3,protein_coding,"112 / 1,062 (10.55%)","516 / 10,202",129,,add to survival plot
SVEP1,,"sushi, von Willebrand factor type A, EGF and pentraxin domain containing 1",9q31.3,protein_coding,"112 / 1,062 (10.55%)","663 / 10,202",131,,add to survival plot
LYST,,lysosomal trafficking regulator,1q42.3,protein_coding,"111 / 1,062 (10.45%)","602 / 10,202",125,,add to survival plot
NLRP5,,"NLR family, pyrin domain containing 5",19q13.43,protein_coding,"111 / 1,062 (10.45%)","509 / 10,202",123,,add to survival plot
PIK3CG,,"phosphatidylinositol-4,5-bisphosphate 3-kinase, catalytic subunit gamma",7q22.3,protein_coding,"111 / 1,062 (10.45%)","432 / 10,202",119,,add to survival plot
EPHA3,,EPH receptor A3,3p11.1,protein_coding,"111 / 1,062 (10.45%)","509 / 10,202",130,,add to survival plot
ZNF423,,zinc finger protein 423,16q12.1,protein_coding,"111 / 1,062 (10.45%)","468 / 10,202",126,,add to survival plot
ALMS1,,Alstrom syndrome 1,2p13.1,protein_coding,"110 / 1,062 (10.36%)","637 / 10,202",130,,add to survival plot
COL19A1,,"collagen, type XIX, alpha 1",6q13,protein_coding,"110 / 1,062 (10.36%)","429 / 10,202",127,,add to survival plot
SNTG1,,"syntrophin, gamma 1",8q11.21,protein_coding,"110 / 1,062 (10.36%)","315 / 10,202",120,,add to survival plot
SORCS3,,sortilin-related VPS10 domain containing receptor 3,10q25.1,protein_coding,"110 / 1,062 (10.36%)","517 / 10,202",127,,add to survival plot
SLITRK2,,"SLIT and NTRK-like family, member 2",Xq27.3,protein_coding,"110 / 1,062 (10.36%)","414 / 10,202",130,,add to survival plot
UNC5D,,unc-5 homolog D (C. elegans),8p12,protein_coding,"110 / 1,062 (10.36%)","470 / 10,202",125,,add to survival plot
DSCAM,,Down syndrome cell adhesion molecule,21q22.2,protein_coding,"110 / 1,062 (10.36%)","766 / 10,202",132,,add to survival plot
KCNH7,,"potassium channel, voltage gated eag related subfamily H, member 7",2q24.2,protein_coding,"109 / 1,062 (10.26%)","446 / 10,202",125,,add to survival plot
POTEE,,"POTE ankyrin domain family, member E",2q21.1,protein_coding,"109 / 1,062 (10.26%)","447 / 10,202",126,,add to survival plot
ADCY2,,adenylate cyclase 2 (brain),5p15.31,protein_coding,"109 / 1,062 (10.26%)","445 / 10,202",128,,add to survival plot
NLGN4X,,"neuroligin 4, X-linked","Xp22.32, Xp22.31",protein_coding,"109 / 1,062 (10.26%)","432 / 10,202",131,,add to survival plot
TRPS1,,trichorhinophalangeal syndrome I,8q23.3,protein_coding,"109 / 1,062 (10.26%)","582 / 10,202",118,,add to survival plot
ACAN,,aggrecan,15q26.1,protein_coding,"109 / 1,062 (10.26%)","542 / 10,202",120,,add to survival plot
PTPRZ1,,"protein tyrosine phosphatase, receptor-type, Z polypeptide 1",7q31.32,protein_coding,"109 / 1,062 (10.26%)","538 / 10,202",142,,add to survival plot
LRRC4C,,leucine rich repeat containing 4C,11p12,protein_coding,"108 / 1,062 (10.17%)","398 / 10,202",122,,add to survival plot
HUWE1,,"HECT, UBA and WWE domain containing 1, E3 ubiquitin protein ligase",Xp11.22,protein_coding,"108 / 1,062 (10.17%)","726 / 10,202",128,,add to survival plot
MYO7B,,myosin VIIB,2q14.3,protein_coding,"108 / 1,062 (10.17%)","479 / 10,202",123,,add to survival plot
ZFPM2,,"zinc finger protein, FOG family member 2","8q22.3, 8q23.1",protein_coding,"108 / 1,062 (10.17%)","487 / 10,202",125,,add to survival plot
ATRNL1,,attractin-like 1,10q25.3,protein_coding,"108 / 1,062 (10.17%)","419 / 10,202",121,,add to survival plot
COL3A1,,"collagen, type III, alpha 1",2q32.2,protein_coding,"107 / 1,062 (10.08%)","478 / 10,202",133,,add to survival plot
MDGA2,,MAM domain containing glycosylphosphatidylinositol anchor 2,14q21.3,protein_coding,"107 / 1,062 (10.08%)","425 / 10,202",125,,add to survival plot
SLC39A12,,"solute carrier family 39 (zinc transporter), member 12",10p12.33,protein_coding,"107 / 1,062 (10.08%)","332 / 10,202",122,,add to survival plot
SPEF2,,sperm flagellar 2,5p13.2,protein_coding,"107 / 1,062 (10.08%)","507 / 10,202",125,,add to survival plot
DCC,,DCC netrin 1 receptor,18q21.2,protein_coding,"107 / 1,062 (10.08%)","657 / 10,202",127,,add to survival plot
NTRK3,,"neurotrophic tyrosine kinase, receptor, type 3",15q25.3,protein_coding,"107 / 1,062 (10.08%)","447 / 10,202",128,Cancer Gene Census,add to survival plot
