######## Chromosome chr1 #########

gene 1/5050 for chr1:	DDX11L1
gene 921/2921 for chr3:	SERBP1P3
gene 922/2921 for chr3:	RFT1
gene 923/2921 for chr3:	PRKCD
gene 924/2921 for chr3:	TKT
gene 925/2921 for chr3:	DCP1A
gene 926/2921 for chr3:	CACNA1D
gene 927/2921 for chr3:	SNORD38
gene 928/2921 for chr3:	SNORA26
gene 929/2921 for chr3:	RP11-72H11.1
gene 930/2921 for chr3:	SNORD63
gene 931/2921 for chr3:	RP11-884K10.6
gene 932/2921 for chr3:	CHDH
gene 933/2921 for chr3:	IL17RB
gene 934/2921 for chr3:	RP11-884K10.7
gene 935/2921 for chr3:	ACTR8
gene 936/2921 for chr3:	SELK
gene 937/2921 for chr3:	CABYRP1
gene 938/2921 for chr3:	CACNA2D3
gene 939/2921 for chr3:	RPS15P5
gene 940/2921 for chr3:	ESRG
gene 941/2921 for chr3:	CACNA2D3-AS1
gene 942/2921 for chr3:	LRTM1
gene 943/2921 for chr3:	RP11-889D3.1
gene 944/2921 for chr3:	RP11-889D3.2
gene 945/2921 for chr3:	RP11-64C1.1
gene 946/2921 for chr3:	RP11-875H7.1
gene 947/2921 for chr3:	RP11-875H7.2
gene 948/2921 for chr3:	WNT5A
gene 949/2921 for chr3:	WNT5A-AS1
gene 950/2921 for chr3:	RP11-875H7.5
gene 951/2921 for chr3:	ERC2
gene 952/2921 for chr3:	RP11-58O15.1
gene 953/2921 for chr3:	ERC2-IT1
gene 954/2921 for chr3:	MIR3938
gene 955/2921 for chr3:	RN7SKP45
gene 956/2921 for chr3:	RNA5SP133
gene 957/2921 for chr3:	CCDC66
gene 958/2921 for chr3:	FAM208A
gene 959/2921 for chr3:	ARHGEF3
gene 960/2921 for chr3:	ARHGEF3-AS1
gene 961/2921 for chr3:	SPATA12
gene 962/2921 for chr3:	RP11-157F20.3
gene 963/2921 for chr3:	IL17RD
gene 964/2921 for chr3:	RP11-157F20.1
gene 965/2921 for chr3:	HESX1
gene 966/2921 for chr3:	APPL1
gene 967/2921 for chr3:	ASB14
gene 968/2921 for chr3:	DNAH12
gene 969/2921 for chr3:	RNU6-1181P
gene 970/2921 for chr3:	RNF7P1
gene 971/2921 for chr3:	RP11-229A12.2
gene 972/2921 for chr3:	RNU6-108P
gene 973/2921 for chr3:	RNU6-483P
gene 974/2921 for chr3:	PDE12
gene 975/2921 for chr3:	ARF4
gene 976/2921 for chr3:	ARF4-AS1
gene 977/2921 for chr3:	RNU6ATAC26P
gene 978/2921 for chr3:	DENND6A
gene 979/2921 for chr3:	DENND6A-AS1
gene 980/2921 for chr3:	RP11-755B10.3
gene 981/2921 for chr3:	SLMAP
gene 982/2921 for chr3:	PDHA1P1
gene 983/2921 for chr3:	PPIAP16
gene 984/2921 for chr3:	FLNB
gene 985/2921 for chr3:	FLNB-AS1
gene 986/2921 for chr3:	RP11-456N14.4
gene 987/2921 for chr3:	RP11-456N14.6
gene 988/2921 for chr3:	DNASE1L3
gene 989/2921 for chr3:	ABHD6
gene 990/2921 for chr3:	RPP14
gene 991/2921 for chr3:	RP11-80H18.3
gene 992/2921 for chr3:	RP11-80H18.4
gene 993/2921 for chr3:	PXK
gene 994/2921 for chr3:	RP11-802O23.4
gene 995/2921 for chr3:	PDHB
gene 996/2921 for chr3:	RP11-802O23.3
gene 997/2921 for chr3:	RP11-359I18.5
gene 998/2921 for chr3:	KCTD6
gene 999/2921 for chr3:	ACOX2
gene 1000/2921 for chr3:	RP11-359I18.1
gene 1001/2921 for chr3:	FAM107A
gene 1002/2921 for chr3:	RP11-475O23.2
gene 1003/2921 for chr3:	FAM3D-AS1
gene 1004/2921 for chr3:	FAM3D
gene 1005/2921 for chr3:	C3orf67
gene 1006/2921 for chr3:	C3orf67-AS1
gene 1007/2921 for chr3:	CTD-2185K10.1
gene 1008/2921 for chr3:	RP11-285B24.1
gene 1009/2921 for chr3:	RP11-719N22.2
gene 1010/2921 for chr3:	RP11-719N22.1
gene 1011/2921 for chr3:	FHIT
gene 1012/2921 for chr3:	RP11-641C17.4
gene 1013/2921 for chr3:	MIR548BB
gene 1014/2921 for chr3:	RP11-641C17.2
gene 1015/2921 for chr3:	RP11-641C17.3
gene 1016/2921 for chr3:	RP11-641C17.1
gene 1017/2921 for chr3:	PTPRG
gene 1018/2921 for chr3:	RPL10AP6
gene 1019/2921 for chr3:	RNU2-10P
gene 1020/2921 for chr3:	RP11-154D3.1
gene 1021/2921 for chr3:	PTPRG-AS1
gene 1022/2921 for chr3:	C3orf14
gene 1023/2921 for chr3:	FEZF2
gene 1024/2921 for chr3:	CADPS
gene 1025/2921 for chr3:	RP11-1036F1.1
gene 1026/2921 for chr3:	RN7SL863P
gene 1027/2921 for chr3:	RNU6-139P
gene 1028/2921 for chr3:	RP11-24H1.1
gene 1029/2921 for chr3:	LINC00698
gene 1030/2921 for chr3:	KRT8P35
gene 1031/2921 for chr3:	UBL5P3
gene 1032/2921 for chr3:	SYNPR
gene 1033/2921 for chr3:	SYNPR-AS1
gene 1034/2921 for chr3:	RNA5SP134
gene 1035/2921 for chr3:	SNTN
gene 1036/2921 for chr3:	AC136289.1
gene 1037/2921 for chr3:	C3orf49
gene 1038/2921 for chr3:	THOC7
gene 1039/2921 for chr3:	THOC7-AS1
gene 1040/2921 for chr3:	ATXN7
gene 1041/2921 for chr3:	SCAANT1
gene 1042/2921 for chr3:	PSMD6-AS2
gene 1043/2921 for chr3:	RP11-245J9.5
gene 1044/2921 for chr3:	PSMD6
gene 1045/2921 for chr3:	RP11-245J9.4
gene 1046/2921 for chr3:	RP11-245J9.6
gene 1047/2921 for chr3:	PRICKLE2-AS1
gene 1048/2921 for chr3:	LINC00994
gene 1049/2921 for chr3:	PRICKLE2
gene 1050/2921 for chr3:	PRICKLE2-AS2
gene 1051/2921 for chr3:	PRDX3P4
gene 1052/2921 for chr3:	PRICKLE2-AS3
gene 1053/2921 for chr3:	RP11-14D22.2
gene 1054/2921 for chr3:	RP11-14D22.1
gene 1055/2921 for chr3:	RNU6-739P
gene 1056/2921 for chr3:	ADAMTS9
gene 1057/2921 for chr3:	ADAMTS9-AS1
gene 1058/2921 for chr3:	ADAMTS9-AS2
gene 1059/2921 for chr3:	RP11-543A18.1
gene 1060/2921 for chr3:	MAGI1
gene 1061/2921 for chr3:	RP11-88H12.2
gene 1062/2921 for chr3:	ILF2P1
gene 1063/2921 for chr3:	RPL17P17
gene 1064/2921 for chr3:	MAGI1-IT1
gene 1065/2921 for chr3:	MAGI1-AS1
gene 1066/2921 for chr3:	RP11-320P11.1
gene 1067/2921 for chr3:	SLC25A26
gene 1068/2921 for chr3:	RNU6-787P
gene 1069/2921 for chr3:	RN7SL482P
gene 1070/2921 for chr3:	LRIG1
gene 1071/2921 for chr3:	RP11-814M22.2
gene 1072/2921 for chr3:	RPL21P41
gene 1073/2921 for chr3:	KBTBD8
gene 1074/2921 for chr3:	MIR4272
gene 1075/2921 for chr3:	RP11-85I21.1
gene 1076/2921 for chr3:	SUCLG2
gene 1077/2921 for chr3:	NDUFB4P1
gene 1078/2921 for chr3:	SUCLG2-AS1
gene 1079/2921 for chr3:	FAM19A1
gene 1080/2921 for chr3:	COPS8P2
gene 1081/2921 for chr3:	RP11-1008M1.1
gene 1082/2921 for chr3:	RP11-436J20.1
gene 1083/2921 for chr3:	PSMC1P1
gene 1084/2921 for chr3:	FAM19A4
gene 1085/2921 for chr3:	RNA5SP135
gene 1086/2921 for chr3:	EOGT
gene 1087/2921 for chr3:	CTD-2013N24.2
gene 1088/2921 for chr3:	TMF1
gene 1089/2921 for chr3:	MIR3136
gene 1090/2921 for chr3:	UBA3
gene 1091/2921 for chr3:	ARL6IP5
gene 1092/2921 for chr3:	LMOD3
gene 1093/2921 for chr3:	FRMD4B
gene 1094/2921 for chr3:	RBM43P1
gene 1095/2921 for chr3:	RP11-62G11.1
gene 1096/2921 for chr3:	RP11-62G11.2
gene 1097/2921 for chr3:	RP11-444P10.1
gene 1098/2921 for chr3:	MITF
gene 1099/2921 for chr3:	RN7SL418P
gene 1100/2921 for chr3:	SAMMSON
gene 1101/2921 for chr3:	RP11-963H1.1
gene 1102/2921 for chr3:	UQCRHP4
gene 1103/2921 for chr3:	RP11-231I13.2
gene 1104/2921 for chr3:	COX6CP6
gene 1105/2921 for chr3:	HMGB1P36
gene 1106/2921 for chr3:	RNU6-281P
gene 1107/2921 for chr3:	FOXP1
gene 1108/2921 for chr3:	RP11-298C2.1
gene 1109/2921 for chr3:	FOXP1-AS1
gene 1110/2921 for chr3:	MIR1284
gene 1111/2921 for chr3:	RP11-154H23.5
gene 1112/2921 for chr3:	FOXP1-IT1
gene 1113/2921 for chr3:	RP11-154H23.4
gene 1114/2921 for chr3:	RP11-154H23.3
gene 1115/2921 for chr3:	EIF4E3
gene 1116/2921 for chr3:	GPR27
gene 1117/2921 for chr3:	PROK2
gene 1118/2921 for chr3:	RN7SL271P
gene 1119/2921 for chr3:	UBE2Q2P9
gene 1120/2921 for chr3:	LINC00877
gene 1121/2921 for chr3:	RP11-398A8.4
gene 1122/2921 for chr3:	RP11-398A8.5
gene 1123/2921 for chr3:	RP11-398A8.2
gene 1124/2921 for chr3:	RP11-398A8.1
gene 1125/2921 for chr3:	LINC00870
gene 1126/2921 for chr3:	RP11-433A10.3
gene 1127/2921 for chr3:	RP11-433A10.2
gene 1128/2921 for chr3:	RP11-447M4.1
gene 1129/2921 for chr3:	RYBP
gene 1130/2921 for chr3:	RP11-654C22.2
gene 1131/2921 for chr3:	RNU1-62P
gene 1132/2921 for chr3:	RP11-654C22.1
gene 1133/2921 for chr3:	RNA5SP136
gene 1134/2921 for chr3:	SHQ1
gene 1135/2921 for chr3:	RP11-624D20.1
gene 1136/2921 for chr3:	PSMD12P
gene 1137/2921 for chr3:	LAPTM4BP2
gene 1138/2921 for chr3:	GXYLT2
gene 1139/2921 for chr3:	FTH1P23
gene 1140/2921 for chr3:	PPP4R2
gene 1141/2921 for chr3:	RNU7-19P
gene 1142/2921 for chr3:	EBLN2
gene 1143/2921 for chr3:	RNU6-557P
gene 1144/2921 for chr3:	RNU2-64P
gene 1145/2921 for chr3:	CCDC75P1
gene 1146/2921 for chr3:	RNU6-1270P
gene 1147/2921 for chr3:	PDZRN3
gene 1148/2921 for chr3:	RNU7-119P
gene 1149/2921 for chr3:	PDZRN3-AS1
gene 1150/2921 for chr3:	CTD-2006M22.2
gene 1151/2921 for chr3:	RP11-451J24.1
gene 1152/2921 for chr3:	RP11-20B7.1
gene 1153/2921 for chr3:	RP11-508O18.1
gene 1154/2921 for chr3:	RP11-781E19.1
gene 1155/2921 for chr3:	AKR1B1P2
gene 1156/2921 for chr3:	CNTN3
gene 1157/2921 for chr3:	NIPA2P2
gene 1158/2921 for chr3:	RN7SL294P
gene 1159/2921 for chr3:	MIR4444-2
gene 1160/2921 for chr3:	HNRNPA3P6
gene 1161/2921 for chr3:	MYLKP1
gene 1162/2921 for chr3:	OR7E66P
gene 1163/2921 for chr3:	OR7E22P
gene 1164/2921 for chr3:	OR7E55P
gene 1165/2921 for chr3:	RP11-803B1.2
gene 1166/2921 for chr3:	LSP1P2
gene 1167/2921 for chr3:	RP11-803B1.3
gene 1168/2921 for chr3:	ALG1L6P
gene 1169/2921 for chr3:	FAM86DP
gene 1170/2921 for chr3:	RP11-803B1.8
gene 1171/2921 for chr3:	ENPP7P2
gene 1172/2921 for chr3:	SNRPCP10
gene 1173/2921 for chr3:	CTD-2026G6.3
gene 1174/2921 for chr3:	RPS3AP15
gene 1175/2921 for chr3:	RP11-413E6.2
gene 1176/2921 for chr3:	OR7E121P
gene 1177/2921 for chr3:	UNC93B3
gene 1178/2921 for chr3:	RPL23AP49
gene 1179/2921 for chr3:	RP11-413E6.11
gene 1180/2921 for chr3:	CLUHP10
gene 1181/2921 for chr3:	AGGF1P3
gene 1182/2921 for chr3:	RARRES2P1
gene 1183/2921 for chr3:	FRG2C
gene 1184/2921 for chr3:	DUX4L26
gene 1185/2921 for chr3:	LINC00960
gene 1186/2921 for chr3:	ZNF717
gene 1187/2921 for chr3:	MIR4273
gene 1188/2921 for chr3:	ROBO2
gene 1189/2921 for chr3:	RP11-550F7.1
gene 1190/2921 for chr3:	RNU6-386P
gene 1191/2921 for chr3:	VDAC1P7
gene 1192/2921 for chr3:	RNU6-217P
gene 1193/2921 for chr3:	RP11-354H21.1
gene 1194/2921 for chr3:	RP11-354H21.2
gene 1195/2921 for chr3:	RN7SL647P
gene 1196/2921 for chr3:	RN7SKP61
gene 1197/2921 for chr3:	RP11-314M24.1
gene 1198/2921 for chr3:	MRPS17P3
gene 1199/2921 for chr3:	ROBO1
gene 1200/2921 for chr3:	RP11-588D3.1
gene 1201/2921 for chr3:	RN7SL751P
gene 1202/2921 for chr3:	MIR3923
gene 1203/2921 for chr3:	HMGB1P38
gene 1204/2921 for chr3:	OSBPL9P1
gene 1205/2921 for chr3:	HNRNPA3P8
gene 1206/2921 for chr3:	RP11-481N16.1
gene 1207/2921 for chr3:	RP11-47P18.1
gene 1208/2921 for chr3:	RP11-47P18.2
gene 1209/2921 for chr3:	RP11-6B4.1
gene 1210/2921 for chr3:	RP11-520D19.1
gene 1211/2921 for chr3:	RP11-520D19.2
gene 1212/2921 for chr3:	RP11-564P9.1
gene 1213/2921 for chr3:	GBE1
gene 1214/2921 for chr3:	RNU2-28P
gene 1215/2921 for chr3:	SETP6
gene 1216/2921 for chr3:	RP11-142L1.3
gene 1217/2921 for chr3:	RP11-142L1.1
gene 1218/2921 for chr3:	RP11-359D24.1
gene 1219/2921 for chr3:	RP11-260O18.1
gene 1220/2921 for chr3:	RPL7AP23
gene 1221/2921 for chr3:	CYP51A1P1
gene 1222/2921 for chr3:	SRRM1P2
gene 1223/2921 for chr3:	LINC00971
gene 1224/2921 for chr3:	RP11-651J20.1
gene 1225/2921 for chr3:	RP11-735B13.2
gene 1226/2921 for chr3:	CADM2
gene 1227/2921 for chr3:	MIR5688
gene 1228/2921 for chr3:	CADM2-AS2
gene 1229/2921 for chr3:	CADM2-AS1
gene 1230/2921 for chr3:	THAP12P2
gene 1231/2921 for chr3:	snoZ40
gene 1232/2921 for chr3:	RNU6-1129P
gene 1233/2921 for chr3:	RP11-789F5.1
gene 1234/2921 for chr3:	RN7SKP284
gene 1235/2921 for chr3:	RP11-331K15.1
gene 1236/2921 for chr3:	RP11-43A1.1
gene 1237/2921 for chr3:	VGLL3
gene 1238/2921 for chr3:	PPATP1
gene 1239/2921 for chr3:	LINC00506
gene 1240/2921 for chr3:	MIR4795
gene 1241/2921 for chr3:	CHMP2B
gene 1242/2921 for chr3:	POU1F1
gene 1243/2921 for chr3:	KRT8P25
gene 1244/2921 for chr3:	APOOP2
gene 1245/2921 for chr3:	PSMC1P6
gene 1246/2921 for chr3:	RP11-451B8.1
gene 1247/2921 for chr3:	RNU6-873P
gene 1248/2921 for chr3:	RNU6ATAC6P
gene 1249/2921 for chr3:	HTR1F
gene 1250/2921 for chr3:	CGGBP1
gene 1251/2921 for chr3:	ZNF654
gene 1252/2921 for chr3:	CBX5P1
gene 1253/2921 for chr3:	C3orf38
gene 1254/2921 for chr3:	ABCF2P1
gene 1255/2921 for chr3:	RP11-249L12.1
gene 1256/2921 for chr3:	NDUFA5P5
gene 1257/2921 for chr3:	ICE2P2
gene 1258/2921 for chr3:	GAPDHP50
gene 1259/2921 for chr3:	EPHA3
gene 1260/2921 for chr3:	MTCO2P6
gene 1261/2921 for chr3:	MTCO1P6
gene 1262/2921 for chr3:	RNU6-712P
gene 1263/2921 for chr3:	PROS2P
gene 1264/2921 for chr3:	HSPE1P19
gene 1265/2921 for chr3:	Clostridiales-1
gene 1266/2921 for chr3:	ABBA01000934.1
gene 1267/2921 for chr3:	RNU6-488P
gene 1268/2921 for chr3:	PROS1
gene 1269/2921 for chr3:	RNU6-511P
gene 1270/2921 for chr3:	ARL13B
gene 1271/2921 for chr3:	HMGN1P7
gene 1272/2921 for chr3:	STX19
gene 1273/2921 for chr3:	DHFR2
gene 1274/2921 for chr3:	NSUN3
gene 1275/2921 for chr3:	RBBP4P2
gene 1276/2921 for chr3:	ARMC10P1
gene 1277/2921 for chr3:	RP11-118N24.2
gene 1278/2921 for chr3:	WDR82P1
gene 1279/2921 for chr3:	LINC00879
gene 1280/2921 for chr3:	RPS18P6
gene 1281/2921 for chr3:	MTHFD2P1
gene 1282/2921 for chr3:	RP11-598F17.2
gene 1283/2921 for chr3:	HNRNPKP4
gene 1284/2921 for chr3:	MIR8060
gene 1285/2921 for chr3:	RP11-124D9.1
gene 1286/2921 for chr3:	RNU6-1094P
gene 1287/2921 for chr3:	MTRNR2L12
gene 1288/2921 for chr3:	RPL18AP8
gene 1289/2921 for chr3:	RCC2P5
gene 1290/2921 for chr3:	CDV3P1
gene 1291/2921 for chr3:	EPHA6
gene 1292/2921 for chr3:	RP11-529P9.1
gene 1293/2921 for chr3:	RP11-389G6.3
gene 1294/2921 for chr3:	ARL6
gene 1295/2921 for chr3:	RP11-389G6.5
gene 1296/2921 for chr3:	CRYBG3
gene 1297/2921 for chr3:	RP11-389G6.4
gene 1298/2921 for chr3:	MINA
gene 1299/2921 for chr3:	GABRR3
gene 1300/2921 for chr3:	OR5BM1P
gene 1301/2921 for chr3:	OR5AC1
gene 1302/2921 for chr3:	OR5AC2
gene 1303/2921 for chr3:	RP11-343D2.11
gene 1304/2921 for chr3:	OR5AC4P
gene 1305/2921 for chr3:	POU5F1P7
gene 1306/2921 for chr3:	OR5H1
gene 1307/2921 for chr3:	OR5H14
gene 1308/2921 for chr3:	OR5H15
gene 1309/2921 for chr3:	OR5H5P
gene 1310/2921 for chr3:	OR5H3P
gene 1311/2921 for chr3:	OR5H4P
gene 1312/2921 for chr3:	RP11-325B23.2
gene 1313/2921 for chr3:	OR5H7P
gene 1314/2921 for chr3:	OR5H6
gene 1315/2921 for chr3:	OR5H2
gene 1316/2921 for chr3:	OR5H8
gene 1317/2921 for chr3:	OR5K4
gene 1318/2921 for chr3:	OR5K3
gene 1319/2921 for chr3:	UBFD1P1
gene 1320/2921 for chr3:	OR5K1
gene 1321/2921 for chr3:	OR5K2
gene 1322/2921 for chr3:	CLDND1
gene 1323/2921 for chr3:	CPOX
gene 1324/2921 for chr3:	RP11-227H4.5
gene 1325/2921 for chr3:	RPL38P4
gene 1326/2921 for chr3:	GPR15
gene 1327/2921 for chr3:	RP11-227H4.1
gene 1328/2921 for chr3:	WWP1P1
gene 1329/2921 for chr3:	ST3GAL6-AS1
gene 1330/2921 for chr3:	ST3GAL6
gene 1331/2921 for chr3:	PDLIM1P4
gene 1332/2921 for chr3:	DCBLD2
gene 1333/2921 for chr3:	RNU6-26P
gene 1334/2921 for chr3:	CTD-2021J15.1
gene 1335/2921 for chr3:	RNU6-1263P
gene 1336/2921 for chr3:	LINC00973
gene 1337/2921 for chr3:	U7
gene 1338/2921 for chr3:	ACTG1P13
gene 1339/2921 for chr3:	RP11-121C1.1
gene 1340/2921 for chr3:	RP11-779P15.1
gene 1341/2921 for chr3:	RP11-779P15.2
gene 1342/2921 for chr3:	RP11-201E8.1
gene 1343/2921 for chr3:	COL8A1
gene 1344/2921 for chr3:	RP11-383I23.2
gene 1345/2921 for chr3:	CMSS1
gene 1346/2921 for chr3:	FILIP1L
gene 1347/2921 for chr3:	MIR3921
gene 1348/2921 for chr3:	TMEM30CP
gene 1349/2921 for chr3:	DUSP12P1
gene 1350/2921 for chr3:	VTI1BP1
gene 1351/2921 for chr3:	TBC1D23
gene 1352/2921 for chr3:	NIT2
gene 1353/2921 for chr3:	TOMM70
gene 1354/2921 for chr3:	LNP1
gene 1355/2921 for chr3:	TMEM45A
gene 1356/2921 for chr3:	ADGRG7
gene 1357/2921 for chr3:	SNORA31
gene 1358/2921 for chr3:	GMFBP1
gene 1359/2921 for chr3:	TFG
gene 1360/2921 for chr3:	ABI3BP
gene 1361/2921 for chr3:	RP11-301G23.1
gene 1362/2921 for chr3:	RNU6-865P
gene 1363/2921 for chr3:	ACTR3P3
gene 1364/2921 for chr3:	IMPG2
gene 1365/2921 for chr3:	SENP7
gene 1366/2921 for chr3:	ZNF90P1
gene 1367/2921 for chr3:	RP11-144C15.1
gene 1368/2921 for chr3:	RP11-144C15.2
gene 1369/2921 for chr3:	FAM172BP
gene 1370/2921 for chr3:	TRMT10C
gene 1371/2921 for chr3:	PCNP
gene 1372/2921 for chr3:	RP11-234A1.1
gene 1373/2921 for chr3:	RP11-454H13.1
gene 1374/2921 for chr3:	RNU6-1256P
gene 1375/2921 for chr3:	ZBTB11
gene 1376/2921 for chr3:	RNY1P12
gene 1377/2921 for chr3:	ZBTB11-AS1
gene 1378/2921 for chr3:	RPL24
gene 1379/2921 for chr3:	PDCL3P4
gene 1380/2921 for chr3:	CEP97
gene 1381/2921 for chr3:	NXPE3
gene 1382/2921 for chr3:	RP11-49I4.3
gene 1383/2921 for chr3:	NFKBIZ
gene 1384/2921 for chr3:	RP11-221J22.1
gene 1385/2921 for chr3:	RP11-221J22.2
gene 1386/2921 for chr3:	ZPLD1
gene 1387/2921 for chr3:	RP11-280H21.1
gene 1388/2921 for chr3:	RNU6-461P
gene 1389/2921 for chr3:	RNU1-43P
gene 1390/2921 for chr3:	NDUFA4P2
gene 1391/2921 for chr3:	MIR548AB
gene 1392/2921 for chr3:	RP11-628J14.1
gene 1393/2921 for chr3:	TUBBP11
gene 1394/2921 for chr3:	RAP1BP2
gene 1395/2921 for chr3:	RP11-281P11.1
gene 1396/2921 for chr3:	ALCAM
gene 1397/2921 for chr3:	CBLB
gene 1398/2921 for chr3:	RP11-93B21.1
gene 1399/2921 for chr3:	LINC00882
gene 1400/2921 for chr3:	FCF1P3
gene 1401/2921 for chr3:	MTND4P16
gene 1402/2921 for chr3:	MTND4LP3
gene 1403/2921 for chr3:	MTND3P6
gene 1404/2921 for chr3:	MTCO3P35
gene 1405/2921 for chr3:	MTATP6P22
gene 1406/2921 for chr3:	MTND5P16
gene 1407/2921 for chr3:	MTND6P6
gene 1408/2921 for chr3:	MTCO1P35
gene 1409/2921 for chr3:	MTND1P16
gene 1410/2921 for chr3:	MTND2P14
gene 1411/2921 for chr3:	RNU6-1308P
gene 1412/2921 for chr3:	RP11-561O4.1
gene 1413/2921 for chr3:	DUBR
gene 1414/2921 for chr3:	RP11-446H18.5
gene 1415/2921 for chr3:	RP11-446H18.1
gene 1416/2921 for chr3:	RP11-446H18.6
gene 1417/2921 for chr3:	CCDC54
gene 1418/2921 for chr3:	RP11-115H18.1
gene 1419/2921 for chr3:	BBX
gene 1420/2921 for chr3:	LINC00635
gene 1421/2921 for chr3:	LINC00636
gene 1422/2921 for chr3:	RP11-861A13.3
gene 1423/2921 for chr3:	CD47
gene 1424/2921 for chr3:	LINC01215
gene 1425/2921 for chr3:	IFT57
gene 1426/2921 for chr3:	HHLA2
gene 1427/2921 for chr3:	HNRNPA1P17
gene 1428/2921 for chr3:	MYH15
gene 1429/2921 for chr3:	RP11-381E24.1
gene 1430/2921 for chr3:	KIAA1524
gene 1431/2921 for chr3:	SNORA70
gene 1432/2921 for chr3:	RP11-381E24.4
gene 1433/2921 for chr3:	AC069499.1
gene 1434/2921 for chr3:	DZIP3
gene 1435/2921 for chr3:	RP11-148O7.2
gene 1436/2921 for chr3:	RETNLB
gene 1437/2921 for chr3:	TRAT1
gene 1438/2921 for chr3:	GUCA1C
gene 1439/2921 for chr3:	MORC1
gene 1440/2921 for chr3:	MORC1-AS1
gene 1441/2921 for chr3:	FLJ22763
gene 1442/2921 for chr3:	RP11-59E19.4
gene 1443/2921 for chr3:	LINC00488
gene 1444/2921 for chr3:	RNU6-1236P
gene 1445/2921 for chr3:	RP11-59E19.3
gene 1446/2921 for chr3:	DPPA2
gene 1447/2921 for chr3:	DPPA4
gene 1448/2921 for chr3:	RP11-397K18.1
gene 1449/2921 for chr3:	RP11-702L6.1
gene 1450/2921 for chr3:	H3F3AP3
gene 1451/2921 for chr3:	LINC01205
gene 1452/2921 for chr3:	PPIAP15
gene 1453/2921 for chr3:	MIR4445
gene 1454/2921 for chr3:	RP11-457K10.1
gene 1455/2921 for chr3:	RP11-424I3.1
gene 1456/2921 for chr3:	RP11-457K10.2
gene 1457/2921 for chr3:	RP11-696F10.1
gene 1458/2921 for chr3:	RP11-119D18.1
gene 1459/2921 for chr3:	RNU6ATAC15P
gene 1460/2921 for chr3:	RPSAP29
gene 1461/2921 for chr3:	RP11-553A10.1
gene 1462/2921 for chr3:	PVRL3-AS1
gene 1463/2921 for chr3:	NECTIN3
gene 1464/2921 for chr3:	CD96
gene 1465/2921 for chr3:	RP11-615J4.3
gene 1466/2921 for chr3:	ATP6V0CP2
gene 1467/2921 for chr3:	RP11-615J4.4
gene 1468/2921 for chr3:	ZBED2
gene 1469/2921 for chr3:	RP11-402J7.2
gene 1470/2921 for chr3:	PLCXD2
gene 1471/2921 for chr3:	PLCXD2-AS1
gene 1472/2921 for chr3:	PHLDB2
gene 1473/2921 for chr3:	ABHD10
gene 1474/2921 for chr3:	TAGLN3
gene 1475/2921 for chr3:	RFKP2
gene 1476/2921 for chr3:	TMPRSS7
gene 1477/2921 for chr3:	C3orf52
gene 1478/2921 for chr3:	MIR567
gene 1479/2921 for chr3:	GCSAM
gene 1480/2921 for chr3:	RP11-757F18.5
gene 1481/2921 for chr3:	SLC9C1
gene 1482/2921 for chr3:	RP11-757F18.3
gene 1483/2921 for chr3:	RP11-90K6.1
gene 1484/2921 for chr3:	RP11-231E6.3
gene 1485/2921 for chr3:	CD200
gene 1486/2921 for chr3:	RP11-231E6.1
gene 1487/2921 for chr3:	BTLA
gene 1488/2921 for chr3:	OR7E100P
gene 1489/2921 for chr3:	RP11-147G7.3
gene 1490/2921 for chr3:	ATG3
gene 1491/2921 for chr3:	SLC35A5
gene 1492/2921 for chr3:	CCDC80
gene 1493/2921 for chr3:	RP11-572C15.3
gene 1494/2921 for chr3:	RP11-572C15.5
gene 1495/2921 for chr3:	RP11-180K7.1
gene 1496/2921 for chr3:	CD200R1L
gene 1497/2921 for chr3:	CD200R1
gene 1498/2921 for chr3:	RP11-484K9.4
gene 1499/2921 for chr3:	GTPBP8
gene 1500/2921 for chr3:	NEPRO
gene 1501/2921 for chr3:	RP11-572M11.4
gene 1502/2921 for chr3:	RP11-572M11.2
gene 1503/2921 for chr3:	RP11-572M11.1
gene 1504/2921 for chr3:	RP11-572M11.3
gene 1505/2921 for chr3:	BOC
gene 1506/2921 for chr3:	CFAP44
gene 1507/2921 for chr3:	AC026348.1
gene 1508/2921 for chr3:	RP11-553D4.2
gene 1509/2921 for chr3:	CFAP44-AS1
gene 1510/2921 for chr3:	MIR8076
gene 1511/2921 for chr3:	SPICE1
gene 1512/2921 for chr3:	SIDT1
gene 1513/2921 for chr3:	SIDT1-AS1
gene 1514/2921 for chr3:	MIR4446
gene 1515/2921 for chr3:	RN7SL767P
gene 1516/2921 for chr3:	USF3
gene 1517/2921 for chr3:	NAA50
gene 1518/2921 for chr3:	RP11-271C24.3
gene 1519/2921 for chr3:	RP11-271C24.2
gene 1520/2921 for chr3:	ATP6V1A
gene 1521/2921 for chr3:	GRAMD1C
gene 1522/2921 for chr3:	RP11-435F17.1
gene 1523/2921 for chr3:	RP11-435F17.3
gene 1524/2921 for chr3:	VPS26AP1
gene 1525/2921 for chr3:	RP11-255E6.6
gene 1526/2921 for chr3:	ZDHHC23
gene 1527/2921 for chr3:	CCDC191
gene 1528/2921 for chr3:	RP11-255E6.5
gene 1529/2921 for chr3:	QTRT2
gene 1530/2921 for chr3:	RP11-274J15.2
gene 1531/2921 for chr3:	DRD3
gene 1532/2921 for chr3:	RP11-553L6.2
